subject,TR,experiment,Model,Manufacturer
VUIISXNAT04_S17100,3.0,VUIISXNAT04_E231010,Achieva,Philips
VUIISXNAT04_S17100,3.0,VUIISXNAT04_E231651,Achieva_dStream,Philips
VUIISXNAT04_S17100,3.0,VUIISXNAT04_E231312,Achieva,Philips
VUIISXNAT04_S17100,3.0,VUIISXNAT04_E231954,Achieva_dStream,Philips
VUIISXNAT04_S17166,3.0,VUIISXNAT04_E231330,Achieva,Philips
VUIISXNAT04_S17106,3.0,VUIISXNAT04_E231016,Achieva,Philips
VUIISXNAT04_S17106,3.0,VUIISXNAT04_E231263,Achieva,Philips
VUIISXNAT04_S17106,3.0,VUIISXNAT04_E231119,Achieva,Philips
VUIISXNAT04_S17238,3.0,VUIISXNAT04_E232392,DISCOVERY_MR750,GE
VUIISXNAT04_S17238,3.0,VUIISXNAT04_E232456,DISCOVERY_MR750,GE
VUIISXNAT04_S17238,3.0,VUIISXNAT04_E231765,DISCOVERY_MR750,GE
VUIISXNAT04_S17615,3.0,VUIISXNAT04_E232291,DISCOVERY_MR750w,GE
VUIISXNAT04_S17615,3.0,VUIISXNAT04_E232550,SIGNA_Premier,GE
VUIISXNAT04_S17215,3.0,VUIISXNAT04_E231763,DISCOVERY_MR750w,GE
VUIISXNAT04_S17215,3.0,VUIISXNAT04_E231709,DISCOVERY_MR750w,GE
VUIISXNAT04_S17215,3.0,VUIISXNAT04_E232689,DISCOVERY_MR750w,GE
VUIISXNAT04_S17594,3.0,VUIISXNAT04_E232664,DISCOVERY_MR750,GE
VUIISXNAT04_S17594,3.0,VUIISXNAT04_E232261,DISCOVERY_MR750,GE
VUIISXNAT04_S17727,3.0,VUIISXNAT04_E232663,DISCOVERY_MR750,GE
VUIISXNAT04_S17665,0.607,VUIISXNAT04_E232464,Prisma_fit,Siemens
VUIISXNAT04_S17435,0.607,VUIISXNAT04_E232156,Prisma,Siemens
VUIISXNAT04_S17435,3.0,VUIISXNAT04_E231996,Prisma,Siemens
VUIISXNAT04_S17455,3.0,VUIISXNAT04_E232017,Prisma_fit,Siemens
VUIISXNAT04_S17191,0.607,VUIISXNAT04_E232519,Prisma,Siemens
VUIISXNAT04_S17191,0.607,VUIISXNAT04_E231731,Prisma,Siemens
VUIISXNAT04_S17191,0.607,VUIISXNAT04_E231713,Prisma,Siemens
VUIISXNAT04_S17191,3.0,VUIISXNAT04_E231608,Signa_HDxt,GE
VUIISXNAT04_S17011,3.0,VUIISXNAT04_E231723,Ingenia,Philips
VUIISXNAT04_S17011,3.0,VUIISXNAT04_E230921,Ingenia,Philips
VUIISXNAT04_S17011,3.0,VUIISXNAT04_E231347,Ingenia,Philips
VUIISXNAT04_S17011,3.0,VUIISXNAT04_E231623,Ingenia,Philips
VUIISXNAT04_S17011,3.0,VUIISXNAT04_E231502,Ingenia,Philips
VUIISXNAT04_S17011,3.0,VUIISXNAT04_E231200,Ingenia,Philips
VUIISXNAT04_S17011,3.0,VUIISXNAT04_E232512,Ingenia,Philips
VUIISXNAT04_S17011,3.0,VUIISXNAT04_E231057,Ingenia,Philips
VUIISXNAT04_S17347,3.0,VUIISXNAT04_E231894,Verio,Siemens
VUIISXNAT04_S17347,3.0,VUIISXNAT04_E232123,Verio,Siemens
VUIISXNAT04_S17347,3.0,VUIISXNAT04_E232763,Skyra_fit,NaN
VUIISXNAT04_S17488,3.0,VUIISXNAT04_E232753,DISCOVERY_MR750,GE
VUIISXNAT04_S17488,3.0,VUIISXNAT04_E232054,DISCOVERY_MR750,GE
VUIISXNAT04_S17442,3.0,VUIISXNAT04_E232710,Prisma_fit,Siemens
VUIISXNAT04_S17442,3.0,VUIISXNAT04_E232003,Prisma_fit,Siemens
VUIISXNAT04_S17442,3.0,VUIISXNAT04_E232165,Prisma_fit,Siemens
VUIISXNAT04_S17502,3.0,VUIISXNAT04_E232411,DISCOVERY_MR750,GE
VUIISXNAT04_S17502,3.0,VUIISXNAT04_E232083,DISCOVERY_MR750,GE
VUIISXNAT04_S17520,3.0,VUIISXNAT04_E232111,DISCOVERY_MR750,GE
VUIISXNAT04_S17520,3.0,VUIISXNAT04_E232401,DISCOVERY_MR750,GE
VUIISXNAT04_S17042,3.0,VUIISXNAT04_E231746,Achieva,Philips
VUIISXNAT04_S17042,3.0,VUIISXNAT04_E231409,Achieva,Philips
VUIISXNAT04_S17042,3.0,VUIISXNAT04_E231660,Achieva,Philips
VUIISXNAT04_S17042,3.0,VUIISXNAT04_E230952,Achieva,Philips
VUIISXNAT04_S17042,3.0,VUIISXNAT04_E231259,Achieva,Philips
VUIISXNAT04_S17042,3.0,VUIISXNAT04_E231117,Achieva,Philips
VUIISXNAT04_S17042,3.0,VUIISXNAT04_E232359,Achieva_dStream,Philips
VUIISXNAT04_S17042,3.0,VUIISXNAT04_E231526,Achieva,Philips
VUIISXNAT04_S17042,3.0,VUIISXNAT04_E232453,Achieva_dStream,Philips
VUIISXNAT04_S17357,3.0,VUIISXNAT04_E231904,Ingenia,Philips
VUIISXNAT04_S17357,3.0,VUIISXNAT04_E232215,Ingenia,Philips
VUIISXNAT04_S17475,3.0,VUIISXNAT04_E232408,Prisma_fit,Siemens
VUIISXNAT04_S17475,3.0,VUIISXNAT04_E232738,Prisma_fit,Siemens
VUIISXNAT04_S17475,3.0,VUIISXNAT04_E232196,Prisma_fit,Siemens
VUIISXNAT04_S17475,3.0,VUIISXNAT04_E232041,Prisma_fit,Siemens
VUIISXNAT04_S17213,3.0,VUIISXNAT04_E231707,Prisma,Siemens
VUIISXNAT04_S17213,3.0,VUIISXNAT04_E232366,Prisma,Siemens
VUIISXNAT04_S17394,3.0,VUIISXNAT04_E232254,DISCOVERY_MR750w,GE
VUIISXNAT04_S17394,3.0,VUIISXNAT04_E231941,DISCOVERY_MR750w,GE
VUIISXNAT04_S17559,3.0,VUIISXNAT04_E232767,Skyra_fit,Siemens
VUIISXNAT04_S17559,3.0,VUIISXNAT04_E232178,Skyra_fit,NaN
VUIISXNAT04_S17376,3.0,VUIISXNAT04_E231923,DISCOVERY_MR750,GE
VUIISXNAT04_S17376,3.0,VUIISXNAT04_E232242,DISCOVERY_MR750,GE
VUIISXNAT04_S17376,3.0,VUIISXNAT04_E232622,DISCOVERY_MR750,GE
VUIISXNAT04_S16973,3.0,VUIISXNAT04_E231374,Ingenuity,Philips
VUIISXNAT04_S16973,3.0,VUIISXNAT04_E230881,GEMINI,Philips
VUIISXNAT04_S17305,3.0,VUIISXNAT04_E231846,Skyra,Siemens
VUIISXNAT04_S17396,0.607,VUIISXNAT04_E232256,Prisma,Siemens
VUIISXNAT04_S17396,0.607,VUIISXNAT04_E231943,Prisma,Siemens
VUIISXNAT04_S17634,3.0,VUIISXNAT04_E232315,Ingenia,Philips
VUIISXNAT04_S17540,3.0,VUIISXNAT04_E232147,Prisma_fit,Siemens
VUIISXNAT04_S17540,3.0,VUIISXNAT04_E232680,Prisma_fit,Siemens
VUIISXNAT04_S17601,3.0,VUIISXNAT04_E232273,Achieva_dStream,Philips
VUIISXNAT04_S17765,3.0,VUIISXNAT04_E232791,DISCOVERY_MR750,GE
VUIISXNAT04_S17370,3.0,VUIISXNAT04_E231917,DISCOVERY_MR750,GE
VUIISXNAT04_S17370,3.0,VUIISXNAT04_E232237,DISCOVERY_MR750,GE
VUIISXNAT04_S17290,3.0,VUIISXNAT04_E231825,Prisma,Siemens
VUIISXNAT04_S17290,3.0,VUIISXNAT04_E232343,Prisma,Siemens
VUIISXNAT04_S17558,3.0,VUIISXNAT04_E232177,Verio,Siemens
VUIISXNAT04_S17632,3.0,VUIISXNAT04_E232448,Ingenia,Philips
VUIISXNAT04_S17632,3.0,VUIISXNAT04_E232313,Ingenia,Philips
VUIISXNAT04_S17632,3.0,VUIISXNAT04_E232589,Ingenia,Philips
VUIISXNAT04_S17454,3.0,VUIISXNAT04_E232016,Prisma_fit,Siemens
VUIISXNAT04_S17591,3.0,VUIISXNAT04_E232251,DISCOVERY_MR750,GE
VUIISXNAT04_S17591,3.0,VUIISXNAT04_E232649,DISCOVERY_MR750,GE
VUIISXNAT04_S16982,3.0,VUIISXNAT04_E231413,Intera,Philips
VUIISXNAT04_S16982,3.0,VUIISXNAT04_E231631,Intera,Philips
VUIISXNAT04_S16982,3.0,VUIISXNAT04_E230890,Intera,Philips
VUIISXNAT04_S17562,3.0,VUIISXNAT04_E232779,TrioTim,Siemens
VUIISXNAT04_S17562,3.0,VUIISXNAT04_E232186,TrioTim,Siemens
VUIISXNAT04_S17339,3.0,VUIISXNAT04_E231881,SIGNA_Premier,GE
VUIISXNAT04_S17133,3.0,VUIISXNAT04_E231221,Achieva,Philips
VUIISXNAT04_S17256,0.607,VUIISXNAT04_E231783,Prisma_fit,Siemens
VUIISXNAT04_S17256,0.607,VUIISXNAT04_E232431,Prisma_fit,Siemens
VUIISXNAT04_S17671,0.607,VUIISXNAT04_E232490,Prisma_fit,Siemens
VUIISXNAT04_S17316,0.607,VUIISXNAT04_E232330,Prisma_fit,Siemens
VUIISXNAT04_S17316,0.607,VUIISXNAT04_E232595,Prisma_fit,Siemens
VUIISXNAT04_S17316,0.607,VUIISXNAT04_E232438,Prisma_fit,Siemens
VUIISXNAT04_S17316,3.0,VUIISXNAT04_E231857,Prisma_fit,Siemens
VUIISXNAT04_S17762,3.0,VUIISXNAT04_E232781,TrioTim,Siemens
VUIISXNAT04_S17085,3.0,VUIISXNAT04_E230995,Intera,Philips
VUIISXNAT04_S17085,3.0,VUIISXNAT04_E231434,Intera,Philips
VUIISXNAT04_S17085,3.0,VUIISXNAT04_E231564,Intera,Philips
VUIISXNAT04_S17085,3.0,VUIISXNAT04_E231303,Intera,Philips
VUIISXNAT04_S17085,3.0,VUIISXNAT04_E231102,Intera,Philips
VUIISXNAT04_S17716,3.0,VUIISXNAT04_E232633,DISCOVERY_MR750,GE
VUIISXNAT04_S17289,3.0,VUIISXNAT04_E231822,Prisma_fit,Siemens
VUIISXNAT04_S16988,3.0,VUIISXNAT04_E231158,Intera,Philips
VUIISXNAT04_S16988,3.001,VUIISXNAT04_E231030,Intera,Philips
VUIISXNAT04_S16988,3.0,VUIISXNAT04_E230898,Intera,Philips
VUIISXNAT04_S17054,3.0,VUIISXNAT04_E230964,Achieva,Philips
VUIISXNAT04_S17054,3.0,VUIISXNAT04_E231072,Achieva,Philips
VUIISXNAT04_S17054,3.0,VUIISXNAT04_E231212,Achieva,Philips
VUIISXNAT04_S17509,0.607,VUIISXNAT04_E232093,Prisma_fit,Siemens
VUIISXNAT04_S17509,0.607,VUIISXNAT04_E232380,Prisma_fit,Siemens
VUIISXNAT04_S17479,3.0,VUIISXNAT04_E232045,Prisma_fit,Siemens
VUIISXNAT04_S17479,3.0,VUIISXNAT04_E232740,Prisma_fit,Siemens
VUIISXNAT04_S17269,3.0,VUIISXNAT04_E232472,DISCOVERY_MR750,GE
VUIISXNAT04_S17269,3.0,VUIISXNAT04_E231796,DISCOVERY_MR750,GE
VUIISXNAT04_S17393,3.0,VUIISXNAT04_E231940,DISCOVERY_MR750w,GE
VUIISXNAT04_S17156,3.0,VUIISXNAT04_E232759,Achieva,Philips
VUIISXNAT04_S17156,3.0,VUIISXNAT04_E231890,Achieva,Philips
VUIISXNAT04_S17156,3.0,VUIISXNAT04_E231568,Achieva,Philips
VUIISXNAT04_S17156,3.0,VUIISXNAT04_E231300,Achieva,Philips
VUIISXNAT04_S17378,3.0,VUIISXNAT04_E231925,DISCOVERY_MR750,GE
VUIISXNAT04_S17378,3.0,VUIISXNAT04_E232624,DISCOVERY_MR750,GE
VUIISXNAT04_S17723,3.0,VUIISXNAT04_E232645,DISCOVERY_MR750,GE
VUIISXNAT04_S17163,3.0,VUIISXNAT04_E231324,Achieva,Philips
VUIISXNAT04_S17159,3.0,VUIISXNAT04_E231311,Intera,Philips
VUIISXNAT04_S17159,3.0,VUIISXNAT04_E231559,Intera,Philips
VUIISXNAT04_S17159,3.0,VUIISXNAT04_E232029,Intera,Philips
VUIISXNAT04_S17159,3.0,VUIISXNAT04_E232731,Ingenia_Elition_X,Philips
VUIISXNAT04_S17675,3.0,VUIISXNAT04_E232506,Prisma,Siemens
