subject,TR,experiment,Model,Manufacturer
VUIISXNAT04_S17089,3.0,VUIISXNAT04_E231234,Intera,Philips
VUIISXNAT04_S17089,3.0,VUIISXNAT04_E230999,Intera,Philips
VUIISXNAT04_S17089,3.0,VUIISXNAT04_E231452,Intera,Philips
VUIISXNAT04_S17089,3.0,VUIISXNAT04_E232729,Ingenia_Elition_X,Philips
VUIISXNAT04_S17089,3.0,VUIISXNAT04_E231565,Intera,Philips
VUIISXNAT04_S17231,3.0,VUIISXNAT04_E231741,Prisma_fit,Siemens
VUIISXNAT04_S17242,3.0,VUIISXNAT04_E231769,DISCOVERY_MR750,GE
VUIISXNAT04_S17544,0.788,VUIISXNAT04_E232699,Skyra,Siemens
VUIISXNAT04_S17544,0.788,VUIISXNAT04_E232153,Skyra,Siemens
VUIISXNAT04_S17424,0.788,VUIISXNAT04_E232688,Skyra,Siemens
VUIISXNAT04_S17424,0.788,VUIISXNAT04_E232150,Skyra,Siemens
VUIISXNAT04_S17424,3.0,VUIISXNAT04_E231985,Skyra,Siemens
VUIISXNAT04_S17137,3.0,VUIISXNAT04_E231242,Achieva,Philips
VUIISXNAT04_S17498,3.0,VUIISXNAT04_E232370,Achieva,Philips
VUIISXNAT04_S17498,3.0,VUIISXNAT04_E232075,Achieva,Philips
VUIISXNAT04_S17464,3.0,VUIISXNAT04_E232030,DISCOVERY_MR750,GE
VUIISXNAT04_S17487,3.0,VUIISXNAT04_E232752,DISCOVERY_MR750,GE
VUIISXNAT04_S17487,3.0,VUIISXNAT04_E232053,DISCOVERY_MR750,GE
VUIISXNAT04_S17527,3.0,VUIISXNAT04_E232402,DISCOVERY_MR750w,GE
VUIISXNAT04_S17527,3.0,VUIISXNAT04_E232524,DISCOVERY_MR750w,GE
VUIISXNAT04_S17527,3.0,VUIISXNAT04_E232122,DISCOVERY_MR750w,GE
VUIISXNAT04_S17090,3.0,VUIISXNAT04_E232027,Intera,Philips
VUIISXNAT04_S17090,3.0,VUIISXNAT04_E231569,Intera,Philips
VUIISXNAT04_S17090,3.0,VUIISXNAT04_E232730,Ingenia_Elition_X,Philips
VUIISXNAT04_S17090,3.0,VUIISXNAT04_E232185,Intera,Philips
VUIISXNAT04_S17090,3.0,VUIISXNAT04_E231123,Intera,Philips
VUIISXNAT04_S17090,3.0,VUIISXNAT04_E231248,Intera,Philips
VUIISXNAT04_S17090,3.0,VUIISXNAT04_E231000,Intera,Philips
VUIISXNAT04_S17090,3.0,VUIISXNAT04_E231666,Intera,Philips
VUIISXNAT04_S17090,3.0,VUIISXNAT04_E231408,Intera,Philips
VUIISXNAT04_S17535,3.0,VUIISXNAT04_E232546,Skyra,Siemens
VUIISXNAT04_S17535,3.0,VUIISXNAT04_E232140,Skyra,Siemens
VUIISXNAT04_S17412,3.0,VUIISXNAT04_E231973,Skyra,Siemens
VUIISXNAT04_S17457,3.0,VUIISXNAT04_E232019,Prisma_fit,Siemens
VUIISXNAT04_S17457,3.0,VUIISXNAT04_E232719,Prisma_fit,Siemens
VUIISXNAT04_S17457,3.0,VUIISXNAT04_E232170,Prisma_fit,Siemens
VUIISXNAT04_S17411,3.0,VUIISXNAT04_E232534,Skyra,Siemens
VUIISXNAT04_S17411,3.0,VUIISXNAT04_E231972,Skyra,Siemens
VUIISXNAT04_S17622,3.0,VUIISXNAT04_E232302,Skyra,Siemens
VUIISXNAT04_S17092,3.0,VUIISXNAT04_E231314,Achieva,Philips
VUIISXNAT04_S17092,3.0,VUIISXNAT04_E231110,Achieva,Philips
VUIISXNAT04_S17092,3.0,VUIISXNAT04_E231579,Achieva,Philips
VUIISXNAT04_S17092,3.0,VUIISXNAT04_E231441,Achieva,Philips
VUIISXNAT04_S17092,3.0,VUIISXNAT04_E231002,Achieva,Philips
VUIISXNAT04_S17127,3.0,VUIISXNAT04_E231587,Achieva,Philips
VUIISXNAT04_S17127,3.0,VUIISXNAT04_E231157,Achieva,Philips
VUIISXNAT04_S17507,3.0,VUIISXNAT04_E232424,TrioTim,Siemens
VUIISXNAT04_S16999,3.001,VUIISXNAT04_E231352,Intera,Philips
VUIISXNAT04_S16999,3.001,VUIISXNAT04_E230909,Intera,Philips
VUIISXNAT04_S16999,3.001,VUIISXNAT04_E231473,Intera,Philips
VUIISXNAT04_S16999,3.001,VUIISXNAT04_E231048,Intera,Philips
VUIISXNAT04_S16999,3.0,VUIISXNAT04_E231170,Intera,Philips
VUIISXNAT04_S16999,3.025,VUIISXNAT04_E231624,Intera,Philips
VUIISXNAT04_S17174,3.0,VUIISXNAT04_E231612,Achieva,Philips
VUIISXNAT04_S17174,3.0,VUIISXNAT04_E231464,Achieva,Philips
VUIISXNAT04_S17576,3.0,VUIISXNAT04_E232572,Verio,Siemens
VUIISXNAT04_S17576,3.0,VUIISXNAT04_E232226,Verio,Siemens
VUIISXNAT04_S17243,3.0,VUIISXNAT04_E231770,DISCOVERY_MR750,GE
VUIISXNAT04_S16975,3.0,VUIISXNAT04_E231752,Biograph_mMR,Siemens
VUIISXNAT04_S16975,3.0,VUIISXNAT04_E230883,GEMINI,Philips
VUIISXNAT04_S17318,0.607,VUIISXNAT04_E232596,Prisma_fit,Siemens
VUIISXNAT04_S17318,3.0,VUIISXNAT04_E231859,Prisma_fit,Siemens
VUIISXNAT04_S17318,0.607,VUIISXNAT04_E232449,Prisma_fit,Siemens
VUIISXNAT04_S17743,3.0,VUIISXNAT04_E232726,Prisma_fit,Siemens
VUIISXNAT04_S17711,0.607,VUIISXNAT04_E232615,Prisma_fit,Siemens
VUIISXNAT04_S17756,3.0,VUIISXNAT04_E232769,Skyra_fit,NaN
VUIISXNAT04_S17725,3.0,VUIISXNAT04_E232657,Achieva_dStream,Philips
VUIISXNAT04_S17157,3.0,VUIISXNAT04_E231301,Achieva,Philips
VUIISXNAT04_S17095,3.0,VUIISXNAT04_E231005,Achieva,Philips
VUIISXNAT04_S17095,3.0,VUIISXNAT04_E231305,Achieva,Philips
VUIISXNAT04_S17197,2.925,VUIISXNAT04_E231649,Signa_HDxt,GE
VUIISXNAT04_S17331,3.0,VUIISXNAT04_E232204,Verio,Siemens
VUIISXNAT04_S17331,3.0,VUIISXNAT04_E231872,Verio,Siemens
VUIISXNAT04_S17605,3.0,VUIISXNAT04_E232277,Ingenia,Philips
VUIISXNAT04_S17468,0.607,VUIISXNAT04_E232034,Prisma_fit,Siemens
VUIISXNAT04_S17468,0.607,VUIISXNAT04_E232734,Prisma_fit,Siemens
VUIISXNAT04_S17121,3.0,VUIISXNAT04_E231195,GEMINI,Philips
VUIISXNAT04_S17121,3.0,VUIISXNAT04_E231071,Ingenuity,Philips
VUIISXNAT04_S17322,0.607,VUIISXNAT04_E232598,Prisma_fit,Siemens
VUIISXNAT04_S17322,3.0,VUIISXNAT04_E231863,Prisma_fit,Siemens
VUIISXNAT04_S17694,3.0,VUIISXNAT04_E232580,Prisma_fit,Siemens
VUIISXNAT04_S17059,3.0,VUIISXNAT04_E230969,Achieva,Philips
VUIISXNAT04_S17059,3.0,VUIISXNAT04_E231394,Achieva,Philips
VUIISXNAT04_S17059,3.0,VUIISXNAT04_E231211,Achieva,Philips
VUIISXNAT04_S17059,3.0,VUIISXNAT04_E231515,Achieva,Philips
VUIISXNAT04_S17059,3.0,VUIISXNAT04_E231097,Achieva,Philips
VUIISXNAT04_S17355,3.0,VUIISXNAT04_E232182,TrioTim,Siemens
VUIISXNAT04_S17355,3.0,VUIISXNAT04_E232777,TrioTim,Siemens
VUIISXNAT04_S17355,3.0,VUIISXNAT04_E231902,TrioTim,Siemens
VUIISXNAT04_S17192,3.0,VUIISXNAT04_E231609,Signa_HDxt,GE
VUIISXNAT04_S17315,0.607,VUIISXNAT04_E232604,Prisma_fit,Siemens
VUIISXNAT04_S17315,0.607,VUIISXNAT04_E231856,Prisma_fit,Siemens
VUIISXNAT04_S17582,3.0,VUIISXNAT04_E232232,Prisma_fit,Siemens
VUIISXNAT04_S17324,3.0,VUIISXNAT04_E231865,Prisma_fit,Siemens
VUIISXNAT04_S17561,3.0,VUIISXNAT04_E232184,TrioTim,Siemens
VUIISXNAT04_S17561,3.0,VUIISXNAT04_E232778,TrioTim,Siemens
VUIISXNAT04_S17532,3.0,VUIISXNAT04_E232133,Prisma_fit,Siemens
VUIISXNAT04_S17663,3.0,VUIISXNAT04_E232459,DISCOVERY_MR750,GE
VUIISXNAT04_S17556,3.0,VUIISXNAT04_E232175,Prisma_fit,Siemens
VUIISXNAT04_S17372,3.0,VUIISXNAT04_E231919,DISCOVERY_MR750,GE
VUIISXNAT04_S17372,3.0,VUIISXNAT04_E232239,DISCOVERY_MR750,GE
VUIISXNAT04_S17372,3.0,VUIISXNAT04_E232794,DISCOVERY_MR750,GE
VUIISXNAT04_S17307,3.0,VUIISXNAT04_E231848,Skyra,Siemens
VUIISXNAT04_S17307,3.0,VUIISXNAT04_E232442,Skyra,Siemens
VUIISXNAT04_S17307,3.0,VUIISXNAT04_E232556,Skyra,Siemens
VUIISXNAT04_S16992,3.0,VUIISXNAT04_E231167,Intera,Philips
VUIISXNAT04_S16992,3.001,VUIISXNAT04_E231037,Intera,Philips
VUIISXNAT04_S16992,3.001,VUIISXNAT04_E230902,Intera,Philips
VUIISXNAT04_S17177,0.607,VUIISXNAT04_E231695,Prisma,Siemens
VUIISXNAT04_S17177,3.0,VUIISXNAT04_E231500,Signa_HDxt,GE
VUIISXNAT04_S17177,0.607,VUIISXNAT04_E231812,Prisma,Siemens
VUIISXNAT04_S17177,0.607,VUIISXNAT04_E232533,Prisma,Siemens
VUIISXNAT04_S17712,0.607,VUIISXNAT04_E232616,Prisma_fit,Siemens
VUIISXNAT04_S17531,3.0,VUIISXNAT04_E232132,Prisma_fit,Siemens
VUIISXNAT04_S17690,3.0,VUIISXNAT04_E232576,Prisma_fit,Siemens
VUIISXNAT04_S17125,3.0,VUIISXNAT04_E231948,DISCOVERY_MR750,GE
VUIISXNAT04_S17125,3.0,VUIISXNAT04_E231430,Ingenia,Philips
VUIISXNAT04_S17125,3.0,VUIISXNAT04_E231111,Ingenia,Philips
VUIISXNAT04_S17125,3.0,VUIISXNAT04_E232258,DISCOVERY_MR750,GE
VUIISXNAT04_S17266,3.0,VUIISXNAT04_E231793,DISCOVERY_MR750,GE
VUIISXNAT04_S17345,3.0,VUIISXNAT04_E232762,Skyra_fit,NaN
VUIISXNAT04_S17345,3.0,VUIISXNAT04_E231892,Verio,Siemens
VUIISXNAT04_S17233,3.0,VUIISXNAT04_E231751,Prisma_fit,Siemens
VUIISXNAT04_S17233,3.0,VUIISXNAT04_E232374,Prisma_fit,Siemens
VUIISXNAT04_S17254,0.607,VUIISXNAT04_E231781,Prisma_fit,Siemens
VUIISXNAT04_S17019,3.0,VUIISXNAT04_E231064,Achieva,Philips
VUIISXNAT04_S17019,3.005,VUIISXNAT04_E231661,Achieva,Philips
VUIISXNAT04_S17019,3.0,VUIISXNAT04_E230929,Achieva,Philips
VUIISXNAT04_S17019,3.00044,VUIISXNAT04_E231509,Achieva,Philips
VUIISXNAT04_S17019,3.0,VUIISXNAT04_E231387,Achieva,Philips
VUIISXNAT04_S17600,3.0,VUIISXNAT04_E232272,Achieva_dStream,Philips
VUIISXNAT04_S17600,3.0,VUIISXNAT04_E232656,Achieva_dStream,Philips
VUIISXNAT04_S17719,3.0,VUIISXNAT04_E232638,DISCOVERY_MR750,GE
VUIISXNAT04_S17597,3.0,VUIISXNAT04_E232264,DISCOVERY_MR750,GE
VUIISXNAT04_S17111,3.0,VUIISXNAT04_E231591,Achieva,Philips
VUIISXNAT04_S17111,3.0,VUIISXNAT04_E231318,Achieva,Philips
VUIISXNAT04_S17111,3.0,VUIISXNAT04_E231436,Achieva,Philips
VUIISXNAT04_S17111,3.0,VUIISXNAT04_E232270,Achieva_dStream,Philips
VUIISXNAT04_S17111,3.0,VUIISXNAT04_E231152,Achieva,Philips
VUIISXNAT04_S17111,3.0,VUIISXNAT04_E231021,Achieva,Philips
VUIISXNAT04_S17111,3.0,VUIISXNAT04_E231957,Achieva_dStream,Philips
VUIISXNAT04_S17111,3.0,VUIISXNAT04_E231663,Achieva_dStream,Philips
VUIISXNAT04_S17069,3.0,VUIISXNAT04_E231402,Achieva,Philips
VUIISXNAT04_S17069,3.0,VUIISXNAT04_E231555,Achieva,Philips
VUIISXNAT04_S17069,3.0,VUIISXNAT04_E231083,Achieva,Philips
VUIISXNAT04_S17069,3.0,VUIISXNAT04_E230979,Achieva,Philips
VUIISXNAT04_S17069,3.0,VUIISXNAT04_E231302,Achieva,Philips
VUIISXNAT04_S17683,3.0,VUIISXNAT04_E232566,Prisma_fit,Siemens
VUIISXNAT04_S17051,3.0,VUIISXNAT04_E231533,Achieva,Philips
VUIISXNAT04_S17051,3.0,VUIISXNAT04_E231236,Achieva,Philips
VUIISXNAT04_S17051,3.0,VUIISXNAT04_E231129,Achieva,Philips
VUIISXNAT04_S17051,3.0,VUIISXNAT04_E231748,Achieva,Philips
VUIISXNAT04_S17051,3.0,VUIISXNAT04_E232362,Achieva,Philips
VUIISXNAT04_S17051,3.0,VUIISXNAT04_E230961,Achieva,Philips
VUIISXNAT04_S17051,3.0,VUIISXNAT04_E231406,Achieva,Philips
VUIISXNAT04_S17051,3.0,VUIISXNAT04_E231646,Achieva,Philips
VUIISXNAT04_S17104,3.0,VUIISXNAT04_E231304,Achieva,Philips
VUIISXNAT04_S17104,3.0,VUIISXNAT04_E231014,Achieva,Philips
VUIISXNAT04_S17264,3.0,VUIISXNAT04_E232107,DISCOVERY_MR750,GE
VUIISXNAT04_S17264,3.0,VUIISXNAT04_E232467,DISCOVERY_MR750,GE
VUIISXNAT04_S17264,3.0,VUIISXNAT04_E231791,DISCOVERY_MR750,GE
VUIISXNAT04_S17264,3.0,VUIISXNAT04_E232695,DISCOVERY_MR750,GE
VUIISXNAT04_S17383,3.0,VUIISXNAT04_E231930,DISCOVERY_MR750,GE
VUIISXNAT04_S17383,3.0,VUIISXNAT04_E232626,DISCOVERY_MR750,GE
VUIISXNAT04_S17383,3.0,VUIISXNAT04_E232243,DISCOVERY_MR750,GE
VUIISXNAT04_S17210,3.0,VUIISXNAT04_E231703,Prisma,Siemens
VUIISXNAT04_S17386,3.0,VUIISXNAT04_E231933,DISCOVERY_MR750,GE
VUIISXNAT04_S17386,3.0,VUIISXNAT04_E232630,DISCOVERY_MR750,GE
VUIISXNAT04_S17386,3.0,VUIISXNAT04_E232245,DISCOVERY_MR750,GE
VUIISXNAT04_S17176,3.0,VUIISXNAT04_E231643,Signa_HDxt,GE
VUIISXNAT04_S17176,3.0,VUIISXNAT04_E231499,Signa_HDxt,GE
VUIISXNAT04_S17120,3.001,VUIISXNAT04_E231193,Intera,Philips
VUIISXNAT04_S17120,3.025,VUIISXNAT04_E231477,Intera,Philips
VUIISXNAT04_S17120,3.001,VUIISXNAT04_E231067,Intera,Philips
VUIISXNAT04_S17687,3.0,VUIISXNAT04_E232570,Prisma_fit,Siemens
VUIISXNAT04_S16978,3.0,VUIISXNAT04_E230886,Achieva,Philips
VUIISXNAT04_S16978,3.0,VUIISXNAT04_E231522,Achieva,Philips
VUIISXNAT04_S16978,3.0,VUIISXNAT04_E231404,Achieva,Philips
VUIISXNAT04_S16978,3.0,VUIISXNAT04_E231841,Achieva,Philips
VUIISXNAT04_S17195,2.875,VUIISXNAT04_E231642,Signa_HDxt,GE
VUIISXNAT04_S17483,3.0,VUIISXNAT04_E232049,Prisma_fit,Siemens
VUIISXNAT04_S17229,3.0,VUIISXNAT04_E231828,Verio,Siemens
VUIISXNAT04_S17229,3.0,VUIISXNAT04_E232348,Verio,Siemens
VUIISXNAT04_S17229,3.0,VUIISXNAT04_E231736,Verio,Siemens
VUIISXNAT04_S17566,0.607,VUIISXNAT04_E232195,Prisma_fit,Siemens
VUIISXNAT04_S17015,3.0,VUIISXNAT04_E232513,Ingenia,Philips
VUIISXNAT04_S17015,3.0,VUIISXNAT04_E231634,Ingenia,Philips
VUIISXNAT04_S17015,3.0,VUIISXNAT04_E231486,Ingenia,Philips
VUIISXNAT04_S17015,3.0,VUIISXNAT04_E230925,Ingenia,Philips
VUIISXNAT04_S17015,3.0,VUIISXNAT04_E231050,Ingenia,Philips
VUIISXNAT04_S17015,3.0,VUIISXNAT04_E231359,Ingenia,Philips
VUIISXNAT04_S17015,3.0,VUIISXNAT04_E231177,Ingenia,Philips
VUIISXNAT04_S16990,3.001,VUIISXNAT04_E231033,Intera,Philips
VUIISXNAT04_S16990,3.001,VUIISXNAT04_E230900,Intera,Philips
VUIISXNAT04_S16990,3.001,VUIISXNAT04_E231335,Intera,Philips
VUIISXNAT04_S16990,3.0,VUIISXNAT04_E231160,Intera,Philips
VUIISXNAT04_S17027,3.0,VUIISXNAT04_E232341,Prisma,Siemens
VUIISXNAT04_S17027,3.0,VUIISXNAT04_E231744,Prisma,Siemens
VUIISXNAT04_S17027,3.0,VUIISXNAT04_E231824,Prisma,Siemens
VUIISXNAT04_S17027,3.0,VUIISXNAT04_E231058,Achieva,Philips
VUIISXNAT04_S17027,3.0,VUIISXNAT04_E230937,Achieva,Philips
VUIISXNAT04_S17027,3.005,VUIISXNAT04_E231633,Achieva,Philips
VUIISXNAT04_S17027,3.004,VUIISXNAT04_E231514,Achieva,Philips
VUIISXNAT04_S17027,3.0,VUIISXNAT04_E231197,Achieva,Philips
VUIISXNAT04_S17027,3.00044,VUIISXNAT04_E231371,Achieva,Philips
VUIISXNAT04_S17099,3.0,VUIISXNAT04_E231153,Achieva,Philips
VUIISXNAT04_S17099,3.0,VUIISXNAT04_E232654,Achieva_dStream,Philips
VUIISXNAT04_S17099,3.0,VUIISXNAT04_E231009,Achieva,Philips
VUIISXNAT04_S17099,3.0,VUIISXNAT04_E231306,Achieva,Philips
VUIISXNAT04_S17099,3.0,VUIISXNAT04_E231427,Achieva,Philips
VUIISXNAT04_S17099,3.0,VUIISXNAT04_E231567,Achieva,Philips
VUIISXNAT04_S17058,3.0,VUIISXNAT04_E231383,Achieva,Philips
VUIISXNAT04_S17058,3.0,VUIISXNAT04_E230968,Achieva,Philips
VUIISXNAT04_S17058,3.0,VUIISXNAT04_E231210,Achieva,Philips
VUIISXNAT04_S17058,3.0,VUIISXNAT04_E231090,Achieva,Philips
VUIISXNAT04_S17058,3.0,VUIISXNAT04_E231517,Achieva,Philips
VUIISXNAT04_S17147,3.0,VUIISXNAT04_E231281,Ingenia,Philips
VUIISXNAT04_S17703,3.0,VUIISXNAT04_E232601,Achieva_dStream,Philips
VUIISXNAT04_S17517,0.607,VUIISXNAT04_E232103,Prisma_fit,Siemens
VUIISXNAT04_S17517,0.607,VUIISXNAT04_E232491,Prisma_fit,Siemens
VUIISXNAT04_S17415,3.0,VUIISXNAT04_E231976,Skyra,Siemens
VUIISXNAT04_S17666,3.0,VUIISXNAT04_E232469,DISCOVERY_MR750,GE
VUIISXNAT04_S17760,3.15,VUIISXNAT04_E232773,Skyra_fit,Siemens
VUIISXNAT04_S17402,3.0,VUIISXNAT04_E232280,DISCOVERY_MR750w,GE
VUIISXNAT04_S17402,3.0,VUIISXNAT04_E231962,DISCOVERY_MR750w,GE
VUIISXNAT04_S17402,3.0,VUIISXNAT04_E232480,SIGNA_Premier,GE
VUIISXNAT04_S17402,3.0,VUIISXNAT04_E232515,DISCOVERY_MR750w,GE
VUIISXNAT04_S17402,3.0,VUIISXNAT04_E232434,SIGNA_Premier,GE
VUIISXNAT04_S17650,0.607,VUIISXNAT04_E232356,Prisma_fit,Siemens
VUIISXNAT04_S17656,3.0,VUIISXNAT04_E232386,DicomCleaner,NaN
VUIISXNAT04_S17592,3.0,VUIISXNAT04_E232259,DISCOVERY_MR750,GE
VUIISXNAT04_S17038,3.0,VUIISXNAT04_E231386,Ingenuity,Philips
VUIISXNAT04_S17038,3.0,VUIISXNAT04_E231196,GEMINI,Philips
VUIISXNAT04_S17038,3.0,VUIISXNAT04_E231077,GEMINI,Philips
VUIISXNAT04_S17038,3.0,VUIISXNAT04_E230948,GEMINI,Philips
VUIISXNAT04_S16993,3.0,VUIISXNAT04_E231162,Intera,Philips
VUIISXNAT04_S16993,3.001,VUIISXNAT04_E231035,Intera,Philips
VUIISXNAT04_S16993,0.607,VUIISXNAT04_E232339,Prisma_fit,Siemens
VUIISXNAT04_S16993,3.001,VUIISXNAT04_E231339,Intera,Philips
VUIISXNAT04_S16993,3.0,VUIISXNAT04_E231691,Prisma_fit,Siemens
VUIISXNAT04_S16993,3.001,VUIISXNAT04_E231483,Intera,Philips
VUIISXNAT04_S16993,3.0,VUIISXNAT04_E231685,Prisma_fit,Siemens
VUIISXNAT04_S16993,3.001,VUIISXNAT04_E230903,Intera,Philips
VUIISXNAT04_S16993,3.025,VUIISXNAT04_E231619,Intera,Philips
VUIISXNAT04_S17207,3.0,VUIISXNAT04_E231705,Prisma,Siemens
VUIISXNAT04_S17207,3.0,VUIISXNAT04_E232393,Prisma,Siemens
VUIISXNAT04_S17207,3.0,VUIISXNAT04_E231700,Prisma,Siemens
VUIISXNAT04_S17515,3.0,VUIISXNAT04_E232099,Prisma_fit,Siemens
VUIISXNAT04_S17515,0.607,VUIISXNAT04_E232443,Prisma_fit,Siemens
VUIISXNAT04_S17589,3.0,VUIISXNAT04_E232647,DISCOVERY_MR750,GE
VUIISXNAT04_S17589,3.0,VUIISXNAT04_E232249,DISCOVERY_MR750,GE
VUIISXNAT04_S17026,3.0,VUIISXNAT04_E231209,GEMINI,Philips
VUIISXNAT04_S17026,3.0,VUIISXNAT04_E231742,Biograph_mMR,Siemens
VUIISXNAT04_S17026,3.0,VUIISXNAT04_E230936,GEMINI,Philips
VUIISXNAT04_S17026,3.0,VUIISXNAT04_E231388,Ingenuity,Philips
VUIISXNAT04_S17026,3.0,VUIISXNAT04_E231108,GEMINI,Philips
VUIISXNAT04_S17617,3.0,VUIISXNAT04_E232293,DISCOVERY_MR750w,GE
VUIISXNAT04_S17194,0.607,VUIISXNAT04_E231734,Prisma,Siemens
VUIISXNAT04_S17194,3.0,VUIISXNAT04_E231635,Signa_HDxt,GE
VUIISXNAT04_S17194,0.607,VUIISXNAT04_E232527,Prisma,Siemens
VUIISXNAT04_S17194,0.607,VUIISXNAT04_E231724,Prisma,Siemens
VUIISXNAT04_S17164,3.0,VUIISXNAT04_E231328,Achieva,Philips
VUIISXNAT04_S17638,0.607,VUIISXNAT04_E232614,Prisma_fit,Siemens
VUIISXNAT04_S17638,0.607,VUIISXNAT04_E232319,Prisma_fit,Siemens
VUIISXNAT04_S17529,3.0,VUIISXNAT04_E232126,DISCOVERY_MR750w,GE
VUIISXNAT04_S17593,3.0,VUIISXNAT04_E232260,DISCOVERY_MR750,GE
VUIISXNAT04_S17593,3.0,VUIISXNAT04_E232661,DISCOVERY_MR750,GE
VUIISXNAT04_S17129,3.0,VUIISXNAT04_E231190,GEMINI,Philips
VUIISXNAT04_S17627,3.0,VUIISXNAT04_E232308,Prisma_fit,Siemens
VUIISXNAT04_S17584,3.0,VUIISXNAT04_E232234,Prisma_fit,Siemens
VUIISXNAT04_S17584,3.0,VUIISXNAT04_E232590,Prisma_fit,Siemens
VUIISXNAT04_S17734,0.607,VUIISXNAT04_E232684,Prisma,Siemens
VUIISXNAT04_S17607,3.0,VUIISXNAT04_E232283,DISCOVERY_MR750w,GE
VUIISXNAT04_S17607,3.0,VUIISXNAT04_E232544,DISCOVERY_MR750w,GE
VUIISXNAT04_S17001,3.001,VUIISXNAT04_E230911,Intera,Philips
VUIISXNAT04_S17001,3.001,VUIISXNAT04_E231041,Intera,Philips
VUIISXNAT04_S17001,3.001,VUIISXNAT04_E231337,Intera,Philips
VUIISXNAT04_S17001,3.001,VUIISXNAT04_E231174,Intera,Philips
VUIISXNAT04_S17608,3.0,VUIISXNAT04_E232545,DISCOVERY_MR750w,GE
VUIISXNAT04_S17608,3.0,VUIISXNAT04_E232284,DISCOVERY_MR750w,GE
VUIISXNAT04_S17261,3.0,VUIISXNAT04_E231788,DISCOVERY_MR750,GE
VUIISXNAT04_S17262,3.0,VUIISXNAT04_E231789,DISCOVERY_MR750,GE
VUIISXNAT04_S17262,3.0,VUIISXNAT04_E232105,DISCOVERY_MR750,GE
VUIISXNAT04_S17262,3.0,VUIISXNAT04_E232495,DISCOVERY_MR750,GE
VUIISXNAT04_S17262,3.0,VUIISXNAT04_E232398,DISCOVERY_MR750,GE
VUIISXNAT04_S17740,3.0,VUIISXNAT04_E232723,Prisma_fit,Siemens
VUIISXNAT04_S17109,3.0,VUIISXNAT04_E231586,Achieva,Philips
VUIISXNAT04_S17109,3.0,VUIISXNAT04_E231019,Achieva,Philips
VUIISXNAT04_S17109,3.0,VUIISXNAT04_E231149,Achieva,Philips
VUIISXNAT04_S17109,3.0,VUIISXNAT04_E231463,Achieva,Philips
VUIISXNAT04_S17109,3.0,VUIISXNAT04_E231294,Achieva,Philips
VUIISXNAT04_S17065,3.0,VUIISXNAT04_E230975,Achieva,Philips
VUIISXNAT04_S17065,3.0,VUIISXNAT04_E231280,Achieva,Philips
VUIISXNAT04_S17065,3.0,VUIISXNAT04_E231392,Achieva,Philips
VUIISXNAT04_S17065,3.0,VUIISXNAT04_E231086,Achieva,Philips
VUIISXNAT04_S17699,3.0,VUIISXNAT04_E232587,Prisma_fit,Siemens
VUIISXNAT04_S17332,3.0,VUIISXNAT04_E231873,Verio,Siemens
VUIISXNAT04_S17332,3.0,VUIISXNAT04_E232205,Verio,Siemens
VUIISXNAT04_S17451,3.0,VUIISXNAT04_E232013,Prisma_fit,Siemens
VUIISXNAT04_S17270,3.0,VUIISXNAT04_E232500,DISCOVERY_MR750,GE
VUIISXNAT04_S17270,3.0,VUIISXNAT04_E231797,DISCOVERY_MR750,GE
VUIISXNAT04_S17761,3.0,VUIISXNAT04_E232780,TrioTim,Siemens
VUIISXNAT04_S17369,3.0,VUIISXNAT04_E232225,DISCOVERY_MR750,GE
VUIISXNAT04_S17369,3.0,VUIISXNAT04_E231916,DISCOVERY_MR750,GE
VUIISXNAT04_S17369,3.0,VUIISXNAT04_E232789,DISCOVERY_MR750,GE
VUIISXNAT04_S17182,3.0,VUIISXNAT04_E231614,Signa_HDxt,GE
VUIISXNAT04_S17098,3.0,VUIISXNAT04_E231688,Achieva_dStream,Philips
VUIISXNAT04_S17098,3.0,VUIISXNAT04_E231131,Achieva,Philips
VUIISXNAT04_S17098,3.0,VUIISXNAT04_E231953,Achieva_dStream,Philips
VUIISXNAT04_S17098,3.0,VUIISXNAT04_E231462,Achieva,Philips
VUIISXNAT04_S17098,3.0,VUIISXNAT04_E231008,Achieva,Philips
VUIISXNAT04_S17098,3.0,VUIISXNAT04_E231287,Achieva,Philips
VUIISXNAT04_S17098,3.0,VUIISXNAT04_E231557,Achieva,Philips
VUIISXNAT04_S17175,3.0,VUIISXNAT04_E231627,Ingenia,Philips
VUIISXNAT04_S17175,3.0,VUIISXNAT04_E231478,Ingenia,Philips
VUIISXNAT04_S17175,3.0,VUIISXNAT04_E232510,Ingenia,Philips
VUIISXNAT04_S17175,3.0,VUIISXNAT04_E231684,Ingenia,Philips
VUIISXNAT04_S17519,3.0,VUIISXNAT04_E232110,DISCOVERY_MR750,GE
VUIISXNAT04_S17610,3.0,VUIISXNAT04_E232286,DISCOVERY_MR750w,GE
VUIISXNAT04_S16981,3.0,VUIISXNAT04_E231523,Achieva,Philips
VUIISXNAT04_S16981,3.0,VUIISXNAT04_E230889,Achieva,Philips
VUIISXNAT04_S16981,3.0,VUIISXNAT04_E231416,Achieva,Philips
VUIISXNAT04_S16981,3.0,VUIISXNAT04_E231842,Achieva,Philips
VUIISXNAT04_S17048,3.0,VUIISXNAT04_E231092,Achieva,Philips
